IO buffer OPT target,Weight buffer OPT target,Weight buffer Tech,IO Area (mm^2),Weight Area (mm^2),Systolic Array Area (mm^2),weight buffer carbon (g),io buffer carbon (g),systolic array carbon (g),total carbon (g)
WriteDynamicEnergy,WriteLatency,SRAM-Best,2.114,4.112,1.23904,54.640256,28.090832,16.464364,99.195452
WriteEDP,Area,HZO3,2.227,0.807463197,1.23904,11.788438,29.592376,16.464364,57.845177
WriteEDP,Area,HZO5,2.227,0.807463197,1.23904,11.915249,29.592376,16.464364,57.971989
WriteEDP,Area,SRAM-Best,2.227,3.874,1.23904,51.477712,29.592376,16.464364,97.534452
WriteEDP,ReadDynamicEnergy,HZO3,2.227,0.80947804,1.23904,11.815214,29.592376,16.464364,57.871953
WriteEDP,ReadDynamicEnergy,HZO5,2.227,0.80947804,1.23904,11.942026,29.592376,16.464364,57.998765
WriteEDP,ReadDynamicEnergy,SRAM-Best,2.227,4.098,1.23904,54.454224,29.592376,16.464364,100.510964
WriteEDP,ReadEDP,HZO3,2.227,0.982724629,1.23904,14.117309,29.592376,16.464364,60.174049
WriteEDP,ReadEDP,HZO5,2.227,0.982724629,1.23904,14.244121,29.592376,16.464364,60.30086
WriteEDP,ReadEDP,SRAM-Best,2.227,4.324,1.23904,57.457312,29.592376,16.464364,103.514052
WriteEDP,ReadLatency,HZO3,2.227,1.146,1.23904,16.287292,29.592376,16.464364,62.344031
WriteEDP,ReadLatency,HZO5,2.227,1.146,1.23904,16.414148,29.592376,16.464364,62.470888
WriteEDP,ReadLatency,SRAM-Best,2.227,4.112,1.23904,54.640256,29.592376,16.464364,100.696996
WriteEDP,WriteDynamicEnergy,HZO3,2.227,2.187,1.23904,30.119814,29.592376,16.464364,76.176553
WriteEDP,WriteDynamicEnergy,HZO5,2.227,2.187,1.23904,30.246636,29.592376,16.464364,76.303376
WriteEDP,WriteDynamicEnergy,SRAM-Best,2.227,4.229,1.23904,56.194952,29.592376,16.464364,102.251692
WriteEDP,WriteEDP,HZO3,2.227,1.348,1.23904,18.971183,29.592376,16.464364,65.027923
WriteEDP,WriteEDP,HZO5,2.227,1.348,1.23904,19.098006,29.592376,16.464364,65.154746
WriteEDP,WriteEDP,SRAM-Best,2.227,4.456,1.23904,59.211328,29.592376,16.464364,105.268068
WriteEDP,WriteLatency,HZO3,2.227,1.523,1.23904,21.296743,29.592376,16.464364,67.353482
WriteEDP,WriteLatency,HZO5,2.227,1.523,1.23904,21.423584,29.592376,16.464364,67.480324
WriteEDP,WriteLatency,SRAM-Best,2.227,4.112,1.23904,54.640256,29.592376,16.464364,100.696996
