IO OPT target,Weight OPT target,Weight Tech,IO Dyn Read (mJ),IO Dyn Write (mJ),IO Static (mJ),Weight Dyn Read (mJ),Weight Static (mJ),Total Energy per Inference (mJ),Overall Carbon Emission (gCO2)
ReadEDP,ReadLatency,HZO3,69.04896460799999,414.702275132,18.801934217805314,114.76827590399999,0.05568847284219264,617.3771383346475,677.3140456565167
ReadEDP,ReadLatency,HZO5,69.04896460799999,414.702275132,18.801934217805314,114.76827590399999,0.05568847284219264,617.3771383346475,677.4409036565168
ReadEDP,ReadLatency,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,492.003728448,3.1951355002398723,997.7520379060452,1095.5249042505693
ReadEDP,WriteDynamicEnergy,HZO3,69.04896460799999,414.702275132,18.801934217805314,56.946188352,50.29535603598682,609.7947183457921,682.5154967011599
ReadEDP,WriteDynamicEnergy,HZO5,69.04896460799999,414.702275132,18.801934217805314,56.946188352,50.29535603598682,609.7947183457921,682.5154967011599
ReadEDP,WriteDynamicEnergy,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,48.266823552000005,5.719954722803905,556.5399522326092,656.4672105240192
ReadEDP,WriteEDP,HZO3,69.04896460799999,414.702275132,18.801934217805314,49.072650816,11.37887994258893,563.0047047163943,625.6994071091946
ReadEDP,WriteEDP,HZO5,69.04896460799999,414.702275132,18.801934217805314,49.072650816,11.37887994258893,563.0047047163943,625.8262301091946
ReadEDP,WriteEDP,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,38.07772704,6.042108295444416,546.6730092932497,649.6300547442381
ReadEDP,WriteLatency,HZO3,69.04896460799999,414.702275132,18.801934217805314,162.238827456,0.2254920741421778,665.0174934879475,729.8990999872595
ReadEDP,WriteLatency,HZO5,69.04896460799999,414.702275132,18.801934217805314,162.238827456,0.2254920741421778,665.0174934879475,730.0259409872596
ReadEDP,WriteLatency,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,492.003728448,3.1951355002398723,997.7520379060452,1095.5249042505693
ReadLatency,Area,HZO3,2409.4914727679998,235.59444993600002,9.263239103361023,25.882025088,0.20418368449996802,2680.435370579861,2732.723823907855
ReadLatency,Area,HZO5,2409.4914727679998,235.59444993600002,9.263239103361023,25.882025088,0.20418368449996802,2680.435370579861,2732.850635907855
ReadLatency,Area,SRAM-Best,2409.4914727679998,235.59444993600002,9.263239103361023,746.374411392,47.12283572436633,3447.846408923727,3538.7810723334615
ReadLatency,ReadDynamicEnergy,HZO3,2409.4914727679998,235.59444993600002,9.263239103361023,7.870352447999999,0.050115171524544005,2662.2696294268853,2713.550681650019
ReadLatency,ReadDynamicEnergy,HZO5,2409.4914727679998,235.59444993600002,9.263239103361023,7.870352447999999,0.050115171524544005,2662.2696294268853,2713.550681650019
ReadLatency,ReadDynamicEnergy,SRAM-Best,2409.4914727679998,235.59444993600002,9.263239103361023,12.472804607999999,6.675806915900161,2673.4977733312608,2768.4614442489838
ReadLatency,ReadEDP,HZO3,2409.4914727679998,235.59444993600002,9.263239103361023,88.293824448,0.02924625313901568,2742.6722325084997,2797.2049654260472
