M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
738,1216,264,r4,bf16,145.3500,3.8962,3.9015,141.4485,33599,ok
5027,5158,71,r3,bf16,174.4600,38.4641,38.4689,135.9911,221768,ok
922,30,27,r0,bf16,141.9800,1.2810,1.2871,140.6928,1303,ok
5,4,438,r4,bf16,138.7600,1.1193,1.1247,137.6353,1547,ok
13,4995,529,r6,bf16,138.7700,2.4144,2.4196,136.3503,78999,ok
45,5687,5,r2,bf16,138.7600,1.7619,1.7671,136.9928,19214,ok
3,2353,87,r2,bf16,141.6500,1.1898,1.1954,140.4546,7314,ok
2101,3724,1022,r7,bf16,163.5900,25.8453,25.8506,137.7393,595919,ok
2852,5008,4,r3,bf16,158.1500,22.2265,22.2320,135.9180,129359,ok
7,404,130,r4,bf16,144.0200,1.1782,1.1834,142.8366,3111,ok
105,4106,1,r2,bf16,145.2900,1.9515,1.9610,143.3291,16070,ok
187,94,1337,r4,bf16,141.7100,1.6849,1.6909,140.0191,6258,ok
4638,2515,94,r3,bf16,151.4900,18.9098,18.9153,132.5747,100399,ok
5587,27,683,r5,bf16,142.4000,2.5484,2.5534,139.8466,35813,ok
251,4655,2102,r6,bf16,146.7100,10.2628,10.2680,136.4420,398156,ok
4470,1437,5,r1,bf16,153.0300,11.5683,11.5735,141.4565,58223,ok
6,2498,71,r2,bf16,141.0200,1.2404,1.2457,139.7743,7759,ok
3794,1,2,r1,bf16,140.0000,1.8893,1.8989,138.1011,4175,ok
2,4804,743,r6,bf16,141.6900,2.8195,2.8249,138.8651,87551,ok
5052,2270,1,r3,bf16,151.2400,16.5167,16.5251,134.7149,97811,ok
3486,2296,4,r3,bf16,150.9700,14.1569,14.1624,136.8077,69623,ok
2,1779,3502,r4,bf16,148.9310,2.9340,2.9399,145.9911,150527,ok
231,20,55,r0,bf16,142.5700,1.1936,1.1991,141.3709,612,ok
4,3802,142,r6,bf16,143.3600,1.3148,1.3203,142.0397,23159,ok
2951,1305,1,r1,bf16,146.2700,7.3124,7.3200,138.9500,36662,ok
6028,2650,25,r3,bf16,157.0600,23.2630,23.2682,133.7917,134609,ok
2264,1640,162,r5,bf16,143.0500,8.7438,8.7491,134.3009,68795,ok
4,2088,219,r6,bf16,142.9500,1.2917,1.2972,141.6528,13123,ok
5696,2422,36,r3,bf16,153.9100,20.2464,20.2517,133.6583,115481,ok
3,2962,3437,r6,bf16,145.9300,7.3657,7.3710,138.5590,249479,ok
5,19,932,r4,bf16,141.9200,1.1750,1.1809,140.7391,3095,ok
3691,5026,1,r3,bf16,163.1500,25.4575,25.4655,137.6845,162919,ok
14,153,2139,r4,bf16,145.2900,1.4488,1.4540,143.8360,13463,ok
4328,1992,58,r3,bf16,184.3800,14.6520,14.6575,169.7225,75359,ok
3984,3462,164,r7,bf16,157.6900,22.5924,22.5980,135.0921,244495,ok
92,3952,9,r2,bf16,142.8400,1.9380,1.9444,140.8956,14693,ok
2,713,1,r0,bf16,144.9000,1.7613,1.7687,143.1313,2303,ok
129,2466,165,r6,bf16,148.1500,1.9717,1.9770,146.1731,20439,ok
2,3798,719,r6,bf16,147.6000,1.9597,1.9648,145.6352,69119,ok
2,1064,824,r4,bf16,144.5900,1.5459,1.5518,143.0382,24191,ok
4,2412,1073,r6,bf16,147.5900,2.2429,2.2482,145.3418,66005,ok
2185,2263,51,r3,bf16,148.3400,10.6717,10.6770,137.6630,46205,ok
5047,2390,557,r7,bf16,165.1100,28.4677,28.4729,136.6371,515754,ok
567,283,831,r4,bf16,140.0801,2.4442,2.4499,137.6302,19928,ok
27,108,1062,r4,bf16,141.7600,1.3481,1.3538,140.4062,3680,ok
3812,34,352,r5,bf16,146.1200,1.8352,1.8411,144.2789,12581,ok
3113,2048,566,r7,bf16,152.4600,16.5776,16.5825,135.8775,279599,ok
24,2620,844,r6,bf16,140.0690,2.0142,2.0194,138.0495,59681,ok
23,2,82,r0,bf16,143.1800,1.1275,1.1335,142.0466,404,ok
2164,81,2,r1,bf16,147.7500,1.5968,1.6034,146.1467,2545,ok
1372,534,1197,r4,bf16,150.1200,5.6947,5.7006,144.4194,87699,ok
23,14,596,r4,bf16,140.6610,1.2354,1.2410,139.4199,2024,ok
2278,4617,38,r3,bf16,153.4800,17.6678,17.6739,135.8062,98419,ok
1095,2950,403,r6,bf16,151.8800,8.5243,8.5296,143.3504,141791,ok
3002,2,1,r1,bf16,140.3200,1.2093,1.2190,139.1009,3383,ok
706,6,5,r0,bf16,142.8100,1.2284,1.2335,141.5765,1087,ok
2142,2425,5,r3,bf16,151.5700,10.7664,10.7721,140.7979,47955,ok
2085,15,1,r1,bf16,146.5100,1.2783,1.2878,145.2222,2466,ok
2053,124,2,r1,bf16,143.5490,1.8481,1.8543,141.6947,2434,ok
266,4904,130,r6,bf16,149.8500,3.9148,3.9206,145.9294,50543,ok
4511,1,9,r1,bf16,144.8700,1.9380,1.9468,142.9232,4892,ok
281,30,374,r4,bf16,146.0500,1.2916,1.2971,144.7529,1988,ok
5465,2861,11,r3,bf16,158.0500,24.0588,24.0647,133.9853,134480,ok
2867,1410,2,r1,bf16,150.2200,8.8828,8.8882,141.3318,38987,ok
13,37,30,r0,bf16,143.3700,1.1485,1.1542,142.2158,394,ok
5948,24,76,r1,bf16,144.3800,1.5536,1.5588,142.8212,6329,ok
21,2837,613,r6,bf16,149.2100,2.1243,2.1296,147.0804,46344,ok
4357,5700,12,r3,bf16,175.3800,35.3087,35.3151,140.0648,213254,ok
108,222,478,r4,bf16,144.7400,1.4478,1.4532,143.2868,3919,ok
3544,2,67,r1,bf16,142.3300,1.2410,1.2476,141.0824,3925,ok
402,2,20,r0,bf16,140.6210,1.1162,1.1222,139.4987,783,ok
536,10,3090,r4,bf16,144.1900,2.3490,2.3547,141.8352,22949,ok
19,4732,21,r2,bf16,146.1700,1.4161,1.4210,144.7490,14836,ok
81,5075,127,r2,bf16,142.9300,2.2114,2.2172,140.7128,18519,ok
437,3,196,r4,bf16,145.2300,1.1369,1.1423,144.0876,1637,ok
2774,6,39,r1,bf16,141.3000,1.2183,1.2238,140.0762,3155,ok
2417,1924,77,r3,bf16,151.1400,10.1385,10.1440,140.9960,44783,ok
248,6106,4117,r6,bf16,154.9900,20.6905,20.6966,134.2934,997919,ok
4991,3741,5561,r7,bf16,408.4500,260.3144,260.3197,148.1303,7092359,ok
2917,3003,2,r3,bf16,150.4300,13.9636,13.9687,136.4613,79175,ok
263,3722,3954,r6,bf16,154.4000,14.1123,14.1171,140.2829,599849,ok
5216,4,2,r1,bf16,159.4600,1.2513,1.2576,158.2024,5597,ok
323,2028,54,r2,bf16,140.6400,2.5796,2.5850,138.0550,11279,ok
3046,1060,9,r1,bf16,150.4000,7.2182,7.2233,143.1766,30851,ok
20,44,525,r4,bf16,139.5800,1.2309,1.2363,138.3437,2009,ok
3657,115,1501,r5,bf16,153.1100,4.3065,4.3123,148.7977,48467,ok
2522,2,2,r1,bf16,142.4290,1.2000,1.2060,141.2229,2903,ok
4266,273,26,r1,bf16,146.5200,3.5250,3.5307,142.9893,13943,ok
3991,907,2,r1,bf16,156.1700,7.9904,7.9958,148.1742,34983,ok
818,175,3405,r4,bf16,149.9500,4.4885,4.4944,145.4555,64799,ok
5,20,804,r4,bf16,138.6401,1.1892,1.1950,137.4451,2708,ok
3908,103,31,r1,bf16,148.4800,2.0087,2.0138,146.4662,4289,ok
4671,3227,8,r3,bf16,162.4400,22.8540,22.8591,139.5809,131377,ok
2695,24,1,r1,bf16,138.2100,1.2676,1.2764,136.9336,3076,ok
53,4978,6,r2,bf16,144.6099,1.7381,1.7437,142.8662,16964,ok
3748,6087,181,r7,bf16,166.2900,33.9294,33.9340,132.3561,396479,ok
12,270,450,r4,bf16,141.6700,1.2745,1.2803,140.3897,4727,ok
5348,227,343,r5,bf16,146.8700,4.6266,4.6315,142.2386,34379,ok
15,4518,7,r2,bf16,137.8700,1.3495,1.3548,136.5152,14291,ok
5,85,1,r0,bf16,138.5500,1.0874,1.0936,137.4564,386,ok
206,4888,881,r6,bf16,144.7300,6.0985,6.1043,138.6257,160523,ok
402,2273,341,r6,bf16,145.8800,3.8516,3.8569,142.0232,42335,ok
12,6040,186,r6,bf16,141.3900,1.6299,1.6354,139.7546,37823,ok
174,2627,34,r2,bf16,140.7300,2.2037,2.2094,138.5206,11675,ok
1447,895,53,r0,bf16,140.4100,3.8621,3.8674,136.5425,12802,ok
30,2,5,r0,bf16,142.3800,1.0980,1.1037,141.2762,411,ok
4226,313,3,r1,bf16,141.9600,3.8301,3.8355,138.1245,13823,ok
5878,3055,19,r3,bf16,164.1100,26.4792,26.4844,137.6256,150239,ok
2209,2172,83,r3,bf16,151.0400,10.5308,10.5353,140.5047,44046,ok
3498,3,881,r5,bf16,150.4200,2.9881,2.9936,147.4264,27159,ok
3935,50,1192,r5,bf16,149.9400,3.7132,3.7189,146.2212,43169,ok
139,2252,202,r6,bf16,159.9700,1.9253,1.9304,158.0396,18755,ok
3,4,6,r0,bf16,143.4000,1.0646,1.0700,142.3300,384,ok
4655,4,168,r5,bf16,143.6800,1.4555,1.4611,142.2189,10073,ok
2023,1167,1,r1,bf16,149.6400,5.3268,5.3344,144.3056,24049,ok
