M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
4096,384,256,grid,bf16,127.6500,6.2014,28.4359,99.2141,26867,ok
16,4,512,grid,bf16,119.1000,0.9948,20.2577,98.8423,1591,ok
96,768,2,grid,bf16,119.7500,1.4799,21.3148,98.4352,2867,ok
127,2048,16,grid,bf16,122.6299,1.9677,21.3116,101.3183,8143,ok
7,1,7906,random,bf16,122.3200,3.3694,24.3879,97.9321,24117,ok
1536,768,256,grid,bf16,125.7600,4.9755,23.1853,102.5746,23015,ok
804,76,2790,random,bf16,125.6900,4.4231,24.1139,101.5761,26091,ok
1425,737,1,random,bf16,125.3110,5.7284,26.1721,99.1388,10841,ok
1,128,32,grid,bf16,140.8199,1.4107,22.0012,118.8187,382,ok
2048,2048,384,grid,bf16,138.0700,17.2191,35.1225,102.9475,116639,ok
256,4096,512,grid,bf16,136.4400,7.1300,25.8020,110.6381,81663,ok
16,256,384,grid,bf16,120.8510,1.1878,20.2296,100.6213,2387,ok
127,1,1536,grid,bf16,122.3299,3.3820,22.3255,100.0044,6107,ok
128,64,257,grid,bf16,121.4601,1.2094,20.9536,100.5065,1529,ok
288,996,293,random,bf16,121.4000,2.6163,22.1580,99.2420,16079,ok
1024,64,1536,grid,bf16,121.7000,2.4451,22.2945,99.4055,16871,ok
5766,5,3,random,bf16,122.5300,1.3221,20.4303,102.0997,6147,ok
4096,1,128,grid,bf16,130.7101,4.3621,22.6427,108.0674,4477,ok
129,4096,96,grid,bf16,125.6000,2.6961,21.5356,104.0645,16351,ok
8,96,2048,grid,bf16,122.9600,1.4889,20.2806,102.6794,6239,ok
127,16,1024,grid,bf16,124.7099,1.5230,19.9482,104.7617,4071,ok
1,1120,128,gemv_wideN,bf16,121.4000,3.0457,21.3715,100.0285,3446,ok
3,328,82,random,bf16,120.7091,1.0582,19.4788,101.2303,1154,ok
1025,8,8,tall,bf16,126.2900,1.1956,24.1652,102.1248,1406,ok
257,16,1,grid,bf16,123.3100,2.1764,22.2512,101.0588,638,ok
127,4096,1,grid,bf16,121.6400,3.5453,21.5175,100.1225,16287,ok
2,768,192,grid,bf16,121.9900,1.0943,20.1784,101.8116,4607,ok
768,512,512,grid,bf16,121.4800,3.6529,22.5587,98.9212,18399,ok
461,189,1088,random,bf16,122.3300,2.5503,21.3594,100.9706,15173,ok
128,576,64,wide_output,bf16,129.9600,1.5002,19.5127,110.4473,2549,ok
834,2,4756,random,bf16,123.6000,3.4319,21.7152,101.8848,46207,ok
8,384,1536,grid,bf16,123.8000,1.7308,20.6353,103.1647,14039,ok
1536,192,2,grid,bf16,123.2710,2.1017,21.1236,102.1474,3835,ok
32,8,192,grid,bf16,124.0200,0.9707,20.9139,103.1061,827,ok
1536,2048,2048,grid,bf16,180.9200,52.4984,70.2027,110.7173,491007,ok
1,32,1,grid,bf16,126.8900,0.5139,12.1404,114.7497,382,ok
129,192,512,grid,bf16,104.8100,1.4188,12.0875,92.7225,4087,ok
2048,512,127,grid,bf16,107.6999,3.7307,13.9523,93.7476,9719,ok
512,129,128,grid,bf16,110.3099,1.3812,10.8680,99.4419,1787,ok
2622,4751,5,random,bf16,129.0699,29.0257,38.7114,90.3585,114151,ok
96,384,2,grid,bf16,102.1499,1.3413,12.0850,90.0649,1433,ok
384,16,1024,grid,bf16,106.2900,1.6810,11.4882,94.8018,6127,ok
8,27,31,random,bf16,102.4400,0.9864,10.3739,92.0661,389,ok
1,1120,64,wide_output,bf16,101.8291,2.3534,11.6716,90.1574,3446,ok
129,4096,768,grid,bf16,104.9001,5.6505,15.9904,88.9097,98111,ok
768,4096,1536,grid,bf16,141.1500,40.4602,51.3197,89.8303,441599,ok
1536,64,1024,grid,bf16,115.5999,2.6547,11.7661,103.8339,15343,ok
384,127,2,grid,bf16,101.9600,1.3561,11.0224,90.9377,765,ok
512,96,96,grid,bf16,101.3001,1.4293,10.5075,90.7926,893,ok
128,264,128,fat,bf16,102.9400,1.3086,10.6198,92.3202,1529,ok
96,384,1024,grid,bf16,103.2000,1.7521,11.6837,91.5162,11471,ok
129,128,512,grid,bf16,102.3090,1.5357,11.5598,90.7492,2043,ok
257,96,127,grid,bf16,101.1200,1.2681,15.4560,85.6640,638,ok
768,2048,1024,grid,bf16,115.6699,15.1294,25.6704,89.9995,147199,ok
32,257,127,grid,bf16,100.6309,1.1034,10.0537,90.5772,1241,ok
7810,110,46,random,bf16,105.6000,3.6982,13.8893,91.7107,8191,ok
64,384,32,grid,bf16,103.5699,1.3155,10.6272,92.9428,1337,ok
216,2,160,random,bf16,100.3400,1.1006,11.6748,88.6652,1195,ok
