M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
3381,909,98,r1,bf16,118.8000,9.2693,24.5428,94.2571,30103,ok
4169,75,3,r1,bf16,109.4000,2.1968,18.9850,90.4151,4550,ok
2142,490,75,r1,bf16,112.8201,4.3265,18.0116,94.8085,10095,ok
4754,197,8,r1,bf16,110.5800,4.0365,17.9100,92.6700,10271,ok
2740,2,8,r1,bf16,109.4399,1.0697,15.8739,93.5661,3121,ok
3710,1072,94,r1,bf16,117.3700,10.4460,24.9216,92.4484,36827,ok
3115,2,43,r1,bf16,107.7000,1.1043,17.5623,90.1377,3496,ok
4511,1,9,r1,bf16,109.1000,2.6094,17.5425,91.5575,4892,ok
4267,1,87,r1,bf16,110.1800,3.3164,17.1050,93.0750,4648,ok
5880,236,1,r1,bf16,116.4000,6.4516,21.8360,94.5639,12523,ok
2085,15,1,r1,bf16,109.2290,2.3562,16.5541,92.6749,2466,ok
2879,1,113,r1,bf16,110.7400,3.3048,20.5093,90.2307,3260,ok
4978,2,76,r1,bf16,108.3100,1.2284,15.8097,92.5004,5359,ok
2446,5,26,r1,bf16,108.8800,1.1181,16.0262,92.8538,2827,ok
5718,3,1,r1,bf16,109.2800,2.5945,18.6396,90.6404,6099,ok
2951,1,19,r1,bf16,107.1111,2.4092,17.2106,89.9005,3332,ok
5216,4,2,r1,bf16,107.3000,1.2625,16.0932,91.2068,5597,ok
2867,1410,2,r1,bf16,116.5100,10.3783,27.9525,88.5575,38987,ok
5909,15,10,r1,bf16,109.0490,1.4789,15.6034,93.4456,6290,ok
2700,1194,104,r1,bf16,117.6200,9.5157,23.2641,94.3559,30819,ok
4024,4,124,r1,bf16,108.8710,1.2645,16.0471,92.8239,4405,ok
2164,81,2,r1,bf16,109.5399,1.7930,18.9682,90.5717,2545,ok
5455,1273,50,r1,bf16,123.1901,16.1761,30.8388,92.3514,58369,ok
2774,6,39,r1,bf16,110.3800,1.1500,15.6914,94.6886,3155,ok
2695,24,1,r1,bf16,110.1099,2.4025,17.4422,92.6677,3076,ok
2240,1,1,r1,bf16,107.6601,0.9342,16.5921,91.0679,2621,ok
2092,24,14,r1,bf16,109.0299,1.4052,19.2614,89.7685,2473,ok
4546,3,8,r1,bf16,111.2500,1.1314,15.1371,96.1128,4927,ok
4029,2,9,r1,bf16,111.7400,1.1166,15.9805,95.7595,4410,ok
2951,1305,1,r1,bf16,120.5091,11.5482,23.0562,97.4528,36662,ok
3089,23,34,r1,bf16,108.3500,1.3202,16.5361,91.8139,3470,ok
2789,5,4,r1,bf16,115.7901,1.2445,16.0645,99.7256,3170,ok
3321,1318,48,r1,bf16,123.5501,12.0716,28.4573,95.0927,40732,ok
2651,68,28,r1,bf16,112.8099,1.8382,17.7040,95.1060,3032,ok
4845,29,7,r1,bf16,111.7900,1.6398,14.6400,97.1500,5226,ok
4690,26,3,r1,bf16,112.6199,1.6136,19.6806,92.9394,5071,ok
3254,1193,2,r1,bf16,119.3200,10.7154,28.0757,91.2443,36359,ok
3289,124,10,r1,bf16,113.0000,2.5699,23.7204,89.2797,3670,ok
2434,1,30,r1,bf16,114.6600,2.4956,16.3048,98.3552,2815,ok
3944,1,4,r1,bf16,109.7000,2.3565,17.0035,92.6965,4325,ok
4695,116,14,r1,bf16,117.7700,2.8445,17.9536,99.8165,5076,ok
2304,208,10,r1,bf16,110.7000,2.6552,17.4520,93.2481,5371,ok
4226,313,3,r1,bf16,123.7900,5.2087,20.5816,103.2084,13823,ok
4659,8,118,r1,bf16,108.9000,1.3634,16.0539,92.8461,5040,ok
2211,797,1,r1,bf16,114.1301,7.2840,20.7488,93.3813,18150,ok
2589,53,17,r1,bf16,128.4300,1.6141,18.6628,109.7671,2970,ok
3045,2,3,r1,bf16,112.1300,1.0812,16.2114,95.9185,3426,ok
2671,302,82,r1,bf16,116.2800,3.6887,20.8262,95.4538,9158,ok
3839,1,47,r1,bf16,112.3600,2.9273,18.0380,94.3219,4220,ok
2741,13,13,r1,bf16,116.9200,1.3703,13.6852,103.2348,3122,ok
2566,1048,2,r1,bf16,117.5300,9.1882,25.8187,91.7113,26531,ok
3112,9,12,r1,bf16,112.5090,1.3420,15.0479,97.4611,3493,ok
3744,115,13,r1,bf16,116.4200,2.5493,20.6423,95.7777,4125,ok
